,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13
Throughput_Mbps,-0.3496215990412206,-0.37906928985229743,0.08086549660855626,0.373744851290634,-0.006781465928397896,-0.18375445731471804,-0.3098991761471278,-0.05154848825478016,0.1028279641345043,-0.44606121601823867,0.1633278806153163,0.039516006577148856,0.466431799601752
Latency_ms,0.2905823821889158,0.3329161907633042,0.29153280630591727,0.21363163420388212,0.24925156457044254,0.06914804968849232,-0.1797070828410881,0.44513456914037103,-0.15838753218483942,-0.33572482492264627,0.18542688034754543,-0.4440150574304005,-0.08614727923143153
Packet_Loss_Percent,0.2122341516328806,-0.4031252360093991,-0.19762374379783793,0.21854373143349334,0.15603625011660327,-0.3640303150923954,0.17472795369823224,0.340616076421391,0.09112176194634432,0.5199036818372548,0.22252057949020312,-0.24285171099644662,0.12296452990922709
Active_Users,0.21068569544679924,0.27861087923308453,-0.3521299640457708,-0.3129402973654798,-0.11692751192201216,-0.44659421071569816,-0.12191060544217772,0.13214360643736095,-0.43673786856923524,-0.13573093960201163,0.10807087884232104,0.2453509421323444,0.3599702215680766
PRB_Utilization_Percent,-0.3466689976359891,0.2317537174811113,0.013178371740168832,0.12818572717956447,-0.0632755607246676,-0.24376690973082493,0.6278142563363694,-0.31351311759362105,-0.24175871518662675,-0.1074758395013755,0.17836055169199358,-0.38849458620250493,0.02998982821771622
SINR_dB,0.449052966679188,-0.14379144387038878,0.07329104937183523,-0.14499815316642,-0.12914607284497379,-0.37296025958802487,0.011308760341174163,-0.34485308755777366,0.36504916269443566,-0.32315268132205033,0.3289137468924395,0.0051269900039117074,-0.36131803507975957
CQI,-0.04599152143165158,0.01563176793385812,0.3924436941243148,-0.0054355532349828735,0.4613297478998435,-0.27942780242954457,-0.3568294719377538,-0.4307072756286346,-0.3351082057485848,0.34301131972661325,0.021375605297819497,0.05003742968026402,-0.08332365335555089
CPU_Usage_Percent,0.1744673216877235,0.06766944650496287,-0.33011940643988535,0.45632526498934084,0.442664101722342,0.22996282388148595,0.23423350728518413,-0.12431582518446269,-0.10766863627062989,-0.13145369807166288,0.22786006961115238,0.4862526011451349,-0.10668574709257289
Memory_Usage_Percent,0.13487724584409547,0.4232579691130923,0.23744303732578678,0.28911966819477847,-0.41829595250912227,0.13320161779293863,-0.09490241096954101,-0.13147032414429796,0.20849207058635177,0.3708228439056939,0.3893587897917155,0.1425539749698858,0.3013070277808567
Handover_Success_Rate,0.40262019316832526,-0.06720090286241318,0.459280100117483,0.10492013429091224,0.04366459446705321,-0.12265298156117611,0.40427981477760705,-0.00514757480963674,0.018753258319344927,-0.10171733448201915,-0.5023735885907642,0.1919394188267916,0.3620738779038402
RRC_Success_Rate,-0.1403346509135122,0.26636487640459566,-0.01915647337348865,-0.41339877493297555,0.5403413845050179,0.014287146034666335,0.10232027588440933,0.004503831368119439,0.5391300833254867,-0.010493999396109632,0.1389697151933924,-0.02974394079876954,0.3527876252833112
Session_Drop_Rate,0.3695016414918392,-0.26413545595020244,-0.17440592550270614,-0.168886815486896,0.020859705364391863,0.4720032009906908,-0.05130237331718488,-0.4052140829618145,-0.2154812019462025,-0.017387262823254215,0.09519578718489281,-0.3935213998630595,0.3661317844827845
Power_Consumption_kW,-0.11398518925136225,-0.31898115648556397,0.42282480058199784,-0.3595069683305036,-0.032666911468159095,0.21030064071369942,0.2534848444574269,0.25692359704617884,-0.26226784479808285,-0.020285876715107627,0.5030089222348034,0.28161896099493255,-0.012303830543246068
